gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,total_score,average_score,target
1,0,0,0,5,87,91,93,92,97,95,99,654,93.42857142857143,3
0,0,5,0,26,73,84,91,77,88,95,83,593,84.76663861274844,0
0,0,2,0,1,86,79,91,75,80,78,76,567,81.0767260610281,14
0,0,3,1,23,88,73,86,75,65,62,83,532,76.0,5
0,0,4,0,47,99,93,88,94,99,92,95,660,94.39848327623127,1
0,0,5,0,3,91,90,73,74,76,87,63,558,79.83792528274927,3
0,0,3,0,29,94,76,93,84,50,67,74,540,77.25113580955947,11
0,0,7,0,1,87,88,51,96,77,71,61,531,75.85714285714286,7
0,0,1,0,24,90,89,82,74,67,92,82,576,82.28571428571429,0
0,0,0,0,24,93,62,81,65,76,70,62,511,73.0731443561183,13
0,0,1,0,25,78,91,81,77,71,87,84,572,81.78355788650344,0
1,0,5,0,3,65,67,91,81,97,99,75,575,82.14285714285714,3
0,0,4,0,8,83,84,92,91,89,96,98,636,90.93255692521244,12
0,0,5,0,28,100,75,72,79,61,94,82,563,80.42857142857143,5
1,0,1,0,33,92,88,88,96,92,86,94,639,91.28571428571429,12
1,0,4,0,0,92,88,76,72,67,87,75,560,80.13482935662412,16
1,0,2,1,15,68,89,68,90,68,99,74,556,79.42857142857143,2
0,0,7,0,4,56,66,92,74,79,80,68,515,73.57142857142857,7
0,0,6,0,14,84,100,98,94,85,84,63,610,87.23683908269801,13
1,0,1,0,2,81,92,94,77,84,63,64,555,79.28571428571429,4
0,0,4,0,14,90,70,85,60,81,71,88,545,77.85714285714286,5
0,0,4,0,3,90,97,83,62,75,71,69,551,78.72770241292326,16
0,0,3,1,18,98,67,80,68,80,88,85,566,80.85714285714286,13
0,0,3,0,24,98,71,89,85,92,65,64,566,80.98058509196284,1
1,0,3,0,3,86,92,79,73,73,61,60,524,74.85714285714286,4
1,1,8,0,3,41,76,94,93,79,84,96,563,80.42857142857143,7
0,0,2,0,28,97,81,72,96,74,75,82,580,82.91438188047594,4
1,0,2,0,3,86,72,97,91,79,60,77,565,80.78217003765842,3
1,0,3,0,22,91,73,87,96,89,78,93,611,87.30824711300215,1
1,0,3,0,3,98,64,87,69,75,72,71,539,77.02336934179002,14
0,0,2,0,31,90,75,94,98,90,70,88,608,86.96220451515984,8
0,0,3,0,32,99,94,94,62,68,79,68,564,80.57142857142857,4
0,0,3,0,28,97,88,88,79,100,74,83,609,87.0,11
1,0,2,0,8,92,99,93,82,97,70,79,612,87.42857142857143,4
0,0,1,0,13,88,65,92,82,85,88,70,573,81.95257224765562,12
0,0,2,0,30,91,88,97,91,89,70,74,602,86.05594032422552,8
0,0,1,0,25,95,89,96,89,60,99,93,621,88.71428571428571,0
1,0,5,0,0,95,65,77,69,93,71,85,560,80.07728638156182,3
1,0,2,0,33,99,63,94,82,84,94,80,600,85.73156965602044,8
0,0,1,0,10,84,86,83,82,85,76,94,593,84.74604487926543,2
1,0,8,1,19,94,83,72,63,65,63,74,514,73.42857142857143,5
0,0,2,0,21,83,80,94,62,66,89,90,568,81.15192975606071,13
0,0,7,0,31,80,87,94,68,89,82,76,576,82.28571428571429,13
0,0,3,0,28,94,82,72,86,37,61,87,523,74.75298133002332,11
0,0,2,0,20,68,100,89,75,84,78,90,584,83.42857142857143,4
0,0,3,0,2,70,76,89,64,79,62,69,514,73.47652524865697,3
0,0,8,0,4,40,94,90,68,61,77,92,522,74.57142857142857,7
0,0,4,1,11,80,71,76,95,99,84,71,578,82.64653398154435,9
0,1,5,1,5,88,53,50,58,84,53,96,482,68.85714285714286,7
0,0,3,0,18,93,79,86,72,89,61,98,578,82.57142857142857,11
0,0,1,0,7,96,91,78,89,90,97,85,628,89.84987579423577,2
0,0,2,0,23,94,71,96,92,92,78,64,590,84.32687335934253,13
0,0,2,0,30,87,79,94,99,89,69,88,608,86.90369555059469,8
0,0,7,0,22,85,73,84,76,92,95,88,597,85.35831747583433,10
0,0,3,0,18,92,78,86,72,89,61,97,578,82.58850881014517,11
0,0,2,0,35,87,92,88,96,90,88,88,631,90.2342355344643,9
0,0,2,0,30,81,82,96,92,100,90,86,629,89.97111109371397,0
1,1,4,1,4,82,85,75,92,76,95,85,590,84.28571428571429,3
0,0,2,1,8,68,94,89,76,72,87,74,563,80.53187164165392,16
0,0,6,1,20,91,75,95,77,98,64,82,585,83.61536760800509,13
0,0,5,0,3,93,64,99,77,67,96,67,566,80.90073223006453,14
0,0,3,1,26,85,68,73,94,88,86,77,571,81.57142857142857,5
0,0,1,0,26,74,91,70,70,75,90,69,542,77.46596260012308,10
1,0,1,0,12,93,72,97,84,76,96,85,606,86.66056110056137,10
1,1,0,0,12,66,90,83,80,75,89,90,576,82.3287445332748,6
1,0,2,0,2,86,60,91,82,73,77,64,533,76.14285714285714,14
0,0,1,0,9,83,76,75,82,64,83,80,547,78.24068203077132,2
0,0,2,0,31,96,83,97,100,85,92,69,622,88.85714285714286,0
0,0,0,0,33,91,89,65,78,96,87,73,582,83.27467384533652,0
1,0,3,0,11,81,85,97,96,90,74,94,619,88.55092712016976,6
0,0,4,0,15,76,63,77,67,42,80,87,495,70.80664497948263,11
0,0,3,0,11,84,68,67,91,85,67,72,538,76.9428368326463,15
0,1,4,0,27,72,85,92,83,84,96,81,593,84.71428571428571,0
0,0,4,0,27,76,80,88,74,61,85,92,558,79.84766409775551,15
1,1,7,0,1,59,56,87,97,62,74,61,496,70.85714285714286,7
1,0,4,1,26,95,97,84,97,75,92,92,632,90.28571428571429,5
0,0,2,0,4,76,81,69,70,79,86,71,535,76.4372313466494,3
1,0,0,0,5,85,89,94,69,99,93,98,627,89.57142857142857,14
0,0,5,1,23,75,62,85,78,46,84,72,505,72.26896668376132,11
0,0,2,0,7,86,84,76,86,97,73,82,588,84.0,2
0,0,2,0,30,91,63,93,91,80,89,72,581,83.07207466718415,8
0,0,4,0,7,78,72,76,95,80,96,77,576,82.35040643817932,2
1,0,1,0,4,72,91,77,96,86,92,76,593,84.85133034575762,3
0,0,5,0,26,76,89,88,62,64,93,88,563,80.50754301767147,10
0,0,2,0,25,86,79,84,65,68,76,74,534,76.3771570288659,15
0,0,2,0,11,70,73,70,67,96,86,89,551,78.71428571428571,12
0,0,6,0,10,82,94,83,93,79,94,86,613,87.6275853892381,2
0,0,1,0,27,87,83,82,95,70,93,67,578,82.67328827398214,15
1,0,4,0,1,91,86,86,89,69,96,91,612,87.49092774801822,14
0,0,1,0,15,63,69,95,65,60,60,77,492,70.34372272493167,4
0,0,3,0,30,80,81,75,72,71,84,87,550,78.57142857142857,0
1,0,5,1,14,87,64,68,60,81,75,67,502,71.71428571428571,9
1,0,2,0,27,99,65,98,75,66,72,100,575,82.14285714285714,5
0,1,4,0,31,77,81,80,95,80,74,80,567,81.0,8
1,1,6,0,0,40,100,88,79,71,86,89,553,79.0,7
1,1,1,0,27,66,71,94,72,96,70,63,532,76.0,4
0,0,1,0,7,81,81,69,90,73,88,86,572,81.73549111253905,12
0,0,3,0,29,95,81,80,89,75,93,87,604,86.33258874494004,0
1,0,2,0,29,75,85,66,88,75,90,91,572,81.85113019255614,10
0,0,2,0,30,84,88,77,69,46,80,71,517,73.9487179069732,11
0,0,8,0,2,88,71,97,74,78,94,86,591,84.43480723998654,14
0,0,1,0,21,97,98,73,99,94,78,84,626,89.45958800432905,15
1,0,1,0,32,83,84,96,96,79,80,81,599,85.57142857142857,0
0,0,3,0,30,87,97,65,67,98,94,78,589,84.28042735743891,10
0,0,3,0,32,81,91,73,72,49,81,72,519,74.14285714285714,11
0,0,4,0,3,88,90,70,90,74,91,90,597,85.31561174580179,3
1,0,0,0,10,82,86,91,68,80,62,81,550,78.57142857142857,16
1,0,10,1,2,46,52,87,80,76,73,76,490,70.0,7
1,0,4,0,1,95,61,84,98,63,66,80,547,78.14285714285714,16
1,0,2,0,13,63,94,65,98,69,90,85,564,80.57142857142857,6
1,0,4,0,31,83,66,87,74,68,82,78,541,77.31127254313216,11
0,0,3,0,2,98,85,66,74,74,82,80,561,80.2807543786653,3
0,0,3,0,24,93,71,81,81,96,93,80,598,85.46736327368853,1
1,0,1,0,11,97,72,98,84,60,95,92,601,85.90103747257228,10
0,0,2,0,14,96,94,60,62,86,79,79,556,79.42857142857143,12
1,0,0,0,17,86,92,65,81,73,84,79,560,80.0,5
1,0,4,0,2,65,66,91,82,97,96,75,575,82.15451345434289,3
0,0,1,0,8,69,66,93,87,62,86,63,528,75.55423411383106,2
1,0,3,0,16,75,97,97,83,74,74,74,574,82.0,11
0,0,6,0,31,68,81,72,75,92,94,97,581,83.05253922937055,10
1,0,0,1,11,89,75,64,81,66,82,92,549,78.42857142857143,2
0,0,3,0,25,90,85,95,74,63,71,92,572,81.77761257224219,11
0,0,3,0,12,96,93,60,65,88,73,82,559,79.99308752046076,12
1,0,3,0,17,84,62,92,74,73,98,91,574,82.0,9
0,0,2,0,7,81,62,80,95,72,60,73,525,75.091921713952,15
1,0,4,0,4,96,91,96,89,68,86,71,601,85.87900830219768,14
1,0,5,0,14,99,72,74,88,90,81,95,599,85.57142857142857,9
1,0,3,0,14,85,88,94,84,82,93,89,619,88.44921991656986,6
0,0,5,0,3,81,65,97,88,90,73,72,570,81.47688064719831,14
0,0,1,0,4,85,68,87,64,79,66,66,517,73.91186733643362,2
0,0,4,0,21,95,69,62,87,84,83,64,544,77.71428571428571,5
0,0,3,0,27,75,86,97,71,87,93,84,596,85.28270904959722,0
1,0,1,0,6,80,87,92,62,70,62,87,544,77.76436355700795,16
0,0,8,0,3,88,74,94,81,76,96,84,595,85.0824914549624,14
1,0,8,0,30,86,98,97,75,83,95,80,614,87.71428571428571,0
0,0,1,0,1,85,61,100,75,70,89,80,560,80.0,14
0,1,3,0,21,95,91,63,83,75,73,74,554,79.14285714285714,4
1,1,7,0,3,73,52,89,85,74,66,79,518,74.0,7
0,0,1,0,31,79,81,86,87,96,94,88,615,87.92467753649883,8
0,0,2,0,32,78,64,94,87,85,62,72,545,77.92431440692192,8
0,0,8,1,1,67,65,77,72,94,88,77,540,77.14285714285714,7
1,0,1,0,18,93,78,84,72,74,86,68,558,79.7558510048193,9
0,0,1,0,3,74,96,79,65,76,67,63,522,74.57372487705331,4
1,0,5,0,5,83,94,77,97,78,60,85,574,82.0,3
0,0,2,0,23,97,71,82,80,97,93,78,598,85.42857142857143,1
1,0,1,0,14,65,81,87,82,65,84,84,550,78.63689327007022,6
0,0,1,0,25,85,82,88,62,71,71,75,534,76.28571428571429,15
0,0,5,0,27,83,80,87,86,71,70,71,550,78.69615186759033,15
1,0,3,0,26,74,73,80,93,73,97,71,563,80.55736171870538,10
0,0,1,0,26,82,96,76,66,86,91,93,593,84.726306658754,12
1,0,1,0,33,80,71,94,92,92,60,78,567,81.0,1
0,0,1,0,2,72,65,83,97,61,60,87,529,75.5821922707774,3
0,0,6,0,4,91,83,90,88,72,94,78,600,85.78829318259695,14
0,0,2,0,25,85,75,89,71,70,82,80,556,79.51426510330157,13
1,0,4,0,31,80,93,93,94,81,81,78,600,85.71428571428571,0
1,0,5,0,9,69,97,61,79,71,79,75,534,76.4028868814586,6
1,0,3,0,13,89,87,63,83,64,85,72,543,77.57142857142857,4
1,0,6,0,1,96,66,76,71,94,72,86,561,80.14285714285714,3
0,0,1,0,31,88,62,93,88,94,91,73,592,84.58937815748307,8
0,0,3,0,9,89,91,72,84,92,77,80,587,83.88906307035268,2
0,0,2,0,35,88,90,98,91,94,96,85,644,92.128985385792,0
0,0,2,0,34,98,64,95,83,83,92,83,601,85.90535064195606,8
1,0,2,0,7,62,73,74,72,83,63,79,506,72.28571428571429,4
0,0,2,0,33,100,63,95,90,88,83,86,606,86.6930617824681,8
0,1,1,0,20,82,70,86,66,97,93,91,585,83.57142857142857,9
0,0,0,0,26,68,94,66,68,91,80,97,567,81.0341735644833,4
0,0,1,0,24,89,67,68,93,98,75,88,578,82.57142857142857,11
0,0,1,0,20,83,80,96,62,66,89,90,569,81.30505773685864,13
0,0,7,0,24,86,78,97,80,94,62,85,585,83.65286588144133,13
1,0,2,0,4,94,84,89,88,91,99,92,638,91.25250716170991,14
1,0,1,0,34,90,97,98,91,95,90,95,658,94.1159029161603,10
1,0,5,0,36,96,97,93,93,92,93,87,653,93.34271777450492,1
1,0,3,1,27,76,72,97,65,87,93,84,574,82.0,4
0,0,2,0,9,84,93,68,66,85,88,65,551,78.79449264606758,15
0,0,1,1,5,65,83,67,84,89,65,73,526,75.14285714285714,16
1,0,2,0,29,97,86,72,81,85,70,72,563,80.42857142857143,4
0,0,7,0,31,94,77,93,95,86,76,71,595,85.03872454163174,8
1,0,2,0,2,85,90,85,74,96,71,80,581,83.0,14
0,0,3,0,28,90,71,84,67,80,73,89,556,79.53902016667959,12
0,0,3,0,3,89,89,91,65,74,68,64,543,77.66835472105765,14
0,0,2,0,12,88,65,82,65,75,94,62,534,76.35507520767712,13
0,0,1,0,23,62,72,78,96,70,74,72,524,74.85714285714286,12
0,0,3,0,13,85,76,87,67,96,72,80,566,80.90550235605424,13
1,0,1,0,6,70,95,94,76,76,85,78,577,82.55045072074219,16
1,0,4,0,27,96,81,84,94,87,89,83,616,88.06193153394011,1
0,0,6,0,12,94,67,86,60,89,88,78,565,80.76058213876205,13
0,0,3,0,38,94,91,92,91,87,90,89,638,91.21046730771316,1
1,0,1,0,4,87,68,96,63,73,84,96,570,81.48895744140698,14
0,0,1,0,5,98,75,62,64,68,80,79,526,75.14285714285714,16
1,0,3,0,28,88,65,93,95,89,87,84,606,86.61786871041154,12
0,0,3,0,24,94,80,69,93,92,92,82,606,86.63375577863617,15
1,1,2,0,28,81,75,94,93,87,77,67,574,82.0,1
1,0,1,0,13,63,93,65,97,69,89,84,562,80.4257238632215,6
0,0,3,1,33,77,92,83,83,82,83,72,575,82.14285714285714,8
1,0,7,0,2,62,53,78,77,59,95,80,504,72.0,7
1,0,2,1,19,75,88,71,80,65,85,60,524,74.85714285714286,9
0,0,1,0,29,89,79,97,70,64,80,94,577,82.47634250931452,11
0,0,3,0,2,70,100,92,73,67,68,76,546,78.0,3
0,0,2,0,3,65,71,91,91,72,76,93,561,80.2258345766368,4
0,0,2,1,8,59,85,94,67,95,90,70,564,80.63565692591082,16
0,0,1,1,26,96,66,79,80,88,61,85,555,79.28571428571429,5
1,1,5,0,0,51,55,87,51,77,87,65,473,67.57142857142857,7
1,0,1,0,4,91,93,72,61,61,87,95,560,80.0,4
0,0,8,0,0,77,71,68,53,70,72,69,480,68.57142857142857,7
0,0,3,1,29,87,76,87,66,64,90,65,538,76.87098581350057,9
1,0,1,0,8,69,94,75,94,91,78,71,576,82.30011114305393,6
0,0,1,0,24,60,78,96,93,62,60,83,532,76.0,4
1,0,2,0,31,79,80,90,92,91,98,96,628,89.76402325316215,8
0,0,5,0,32,87,90,84,74,77,85,84,585,83.58516818350272,0
0,0,2,0,15,85,95,81,63,82,93,81,585,83.57720278758964,13
0,0,1,0,2,92,92,64,66,81,79,64,541,77.42448139536575,16
0,0,8,1,21,89,60,93,79,72,76,85,554,79.14285714285714,15
0,0,7,0,14,77,73,79,90,86,76,70,555,79.41012346323588,9
0,0,4,0,31,77,88,80,77,82,72,80,560,80.02947477187125,15
1,0,4,1,31,75,98,96,85,81,69,90,594,84.85714285714286,8
0,0,5,0,33,82,92,95,61,84,81,82,577,82.42857142857143,13
1,1,7,0,5,87,76,71,65,64,81,61,505,72.14285714285714,7
1,0,3,0,30,81,93,97,87,84,67,84,597,85.32451765075916,8
1,0,1,0,33,100,82,85,68,97,81,100,613,87.57142857142857,0
1,0,4,0,27,97,87,65,90,66,84,75,564,80.57142857142857,11
0,0,4,0,1,95,57,77,81,83,57,70,520,74.28571428571429,7
1,0,2,0,4,93,65,82,61,79,72,85,539,77.03660099194207,14
0,0,3,0,2,93,82,93,92,76,68,85,593,84.8078185837242,16
0,0,1,0,2,80,79,94,74,82,82,61,554,79.24218697967368,14
0,0,2,0,8,61,71,90,73,95,80,78,552,78.87437973646722,16
0,0,0,0,9,85,76,70,81,64,83,85,548,78.31949087523321,2
0,0,1,1,26,82,98,78,63,83,91,94,589,84.14285714285714,12
0,0,1,1,23,86,66,82,66,74,67,68,512,73.24666658350743,13
1,1,2,0,11,88,65,81,76,90,76,84,563,80.4339970617139,15
0,0,7,0,2,96,68,87,85,92,91,63,585,83.70447147025435,14
0,0,6,0,27,85,72,80,85,94,96,87,599,85.57142857142857,1
1,1,3,0,2,50,78,67,95,82,97,80,549,78.42857142857143,7
1,0,0,0,12,98,76,70,88,92,81,69,576,82.29259115033042,6
0,0,1,0,19,76,62,89,82,92,70,61,535,76.45530219316954,11
1,0,5,0,18,91,100,84,72,84,90,82,603,86.14285714285714,4
0,0,1,0,26,79,86,95,86,93,85,65,591,84.56274150418187,0
0,0,7,0,25,96,86,94,67,88,87,81,603,86.20256719742584,9
1,1,4,0,24,86,68,97,86,61,78,95,574,82.04483221790987,15
0,0,2,0,23,95,83,89,92,92,84,85,622,88.9953162889608,1
1,1,1,0,14,100,68,85,85,62,63,92,555,79.28571428571429,11
0,0,1,1,16,87,81,69,82,70,62,66,517,73.85714285714286,11
0,0,1,0,14,68,88,68,97,73,83,86,565,80.80996909381423,12
0,0,2,0,24,86,75,91,71,69,82,80,556,79.43175982588423,13
0,0,2,0,2,84,89,85,74,95,71,79,580,82.96939091941923,14
0,0,2,0,1,97,82,69,97,62,61,79,549,78.49644788838745,16
0,0,2,0,33,83,91,76,71,82,82,79,564,80.57142857142857,0
0,0,6,0,11,95,61,85,61,82,93,70,550,78.66113609248713,13
1,0,4,0,30,70,68,92,74,82,85,72,543,77.57142857142857,12
1,0,1,1,28,94,66,68,94,62,76,77,537,76.71428571428571,9
0,0,1,0,30,91,90,88,92,75,98,91,625,89.28571428571429,5
0,0,1,0,9,72,69,90,73,90,86,76,558,79.73736130756684,4
0,0,5,1,2,100,67,98,71,92,79,99,606,86.57142857142857,3
0,0,4,0,29,97,65,97,89,86,72,84,595,85.0,1
1,0,2,0,19,89,64,74,97,95,77,88,584,83.42857142857143,5
0,0,4,0,4,80,91,86,71,69,88,73,561,80.28280599803567,3
0,0,1,0,46,91,85,96,95,98,96,92,655,93.68121760446552,1
0,0,2,0,13,90,63,86,69,92,86,95,585,83.66845999071832,9
1,0,2,0,25,83,89,75,80,97,93,91,610,87.20274221638896,12
0,0,1,0,33,95,82,62,76,64,91,79,549,78.42857142857143,0
0,0,3,0,31,78,81,80,93,80,74,80,567,81.12708283692132,8
0,0,3,0,17,97,78,81,67,90,95,79,587,83.85714285714286,5
0,0,6,0,18,89,90,96,97,87,84,63,606,86.57142857142857,5
1,0,2,1,15,61,69,68,60,70,91,78,499,71.41879232136621,6
0,0,1,0,12,76,77,73,75,81,60,77,522,74.59134926432847,15
1,0,2,1,16,71,100,99,95,91,96,96,648,92.57142857142857,10
1,0,3,0,34,77,60,61,91,62,78,91,520,74.28571428571429,9
1,0,1,0,2,87,78,74,75,95,69,99,577,82.42857142857143,3
1,0,7,0,21,86,62,81,63,92,75,79,538,76.85714285714286,15
1,0,2,0,6,78,85,68,93,71,90,84,574,82.0176911205542,12
1,0,5,0,24,89,88,92,97,88,65,85,607,86.75790912290634,1
0,0,7,0,16,92,60,76,61,94,93,94,570,81.42857142857143,9
1,0,1,0,9,95,72,99,67,83,78,65,559,79.85714285714286,4
1,0,4,0,9,92,85,70,92,93,86,77,597,85.37435534201784,6
0,0,3,0,4,69,85,90,84,86,79,80,577,82.51162824057522,2
0,0,4,0,32,91,73,86,73,84,60,71,538,76.85714285714286,13
1,0,7,0,0,79,67,72,50,75,95,62,500,71.42857142857143,7
0,0,2,0,24,84,63,98,70,92,78,93,578,82.57142857142857,9
1,0,1,0,5,75,87,63,63,83,74,72,521,74.44075944922011,12
0,0,2,0,4,80,65,96,73,84,92,73,563,80.42857142857143,12
0,0,3,0,1,81,71,99,78,94,86,65,577,82.48755209873491,14
1,0,4,0,35,89,89,91,93,94,92,89,640,91.49722784678379,8
1,0,10,1,3,87,82,88,100,73,96,75,601,85.85714285714286,3
0,0,3,0,1,84,69,94,75,96,92,63,576,82.35255630812905,14
0,0,2,0,25,94,77,92,68,68,82,78,561,80.17745055564795,11
0,0,5,0,19,79,88,83,84,78,72,79,563,80.42857142857143,11
0,0,2,1,5,68,69,86,87,72,80,93,555,79.28571428571429,4
1,0,1,0,16,88,65,76,60,93,93,88,566,80.9094530679666,6
1,0,5,0,31,94,68,89,90,91,98,72,602,86.0,12
0,0,3,0,1,63,74,90,74,72,64,72,511,73.12912328823768,3
0,0,2,0,14,91,73,98,71,69,80,87,571,81.63150060254311,13
1,0,1,0,11,71,98,96,60,90,79,72,566,80.85714285714286,12
0,0,1,0,32,84,97,95,97,98,81,93,647,92.47824110684599,1
1,0,5,0,12,63,91,85,98,73,80,81,573,81.95066620486642,6
0,0,3,0,27,96,70,82,71,99,90,65,573,81.85714285714286,13
0,0,3,0,11,86,74,92,92,99,95,68,609,87.10965439868154,13
0,0,9,0,4,48,55,86,51,54,94,61,449,64.14285714285714,7
1,0,6,0,16,92,70,60,94,87,90,86,579,82.71428571428571,5
1,1,7,0,5,77,60,83,65,81,80,88,534,76.28571428571429,7
0,0,4,0,5,87,70,98,64,65,78,83,545,77.85714285714286,14
0,0,2,0,29,96,85,80,79,98,81,86,607,86.72362659586481,11
1,0,7,0,4,98,81,58,78,91,74,75,555,79.28571428571429,7
0,0,5,0,26,70,77,91,96,100,89,67,590,84.28571428571429,4
0,0,4,1,7,61,67,65,87,64,94,75,515,73.63771962831433,2
0,0,0,0,4,81,84,75,88,83,88,86,588,84.11270408325001,16
1,0,1,0,34,97,89,75,61,90,90,70,575,82.1467127778925,0
0,0,6,0,33,75,86,71,62,90,78,95,559,79.96711415689828,9
0,0,2,0,11,96,87,99,65,98,79,93,617,88.14285714285714,9
0,0,2,0,3,66,63,95,76,71,99,73,543,77.57142857142857,4
0,0,1,0,3,53,71,98,95,94,71,77,559,79.85714285714286,7
1,0,3,0,14,86,91,86,83,81,97,90,617,88.2163210252323,6
0,0,4,0,26,93,96,76,70,81,82,86,587,83.97439138260498,12
1,0,1,0,6,64,74,66,83,93,73,93,549,78.45473969785435,16
1,0,2,0,22,79,69,85,68,80,86,72,542,77.44075560991645,12
1,1,9,0,2,82,54,85,57,50,54,76,458,65.42857142857143,7
0,0,5,1,1,50,87,93,84,86,73,74,547,78.14285714285714,7
1,0,5,0,26,97,84,70,90,97,95,87,620,88.57142857142857,9
1,0,5,1,10,76,84,70,92,76,80,85,567,81.05797856215192,2
0,0,3,0,2,99,76,94,88,75,66,84,582,83.14285714285714,16
0,0,4,0,26,92,97,77,69,81,83,87,588,84.00708407370335,12
0,0,6,1,16,93,80,60,62,43,68,67,473,67.57142857142857,11
0,0,4,0,24,78,80,84,76,82,84,68,555,79.31807082502829,15
1,0,6,0,20,87,62,79,62,92,73,79,538,76.99717484168337,15
0,0,3,0,29,76,87,64,80,72,90,95,566,80.8585823834639,10
1,0,1,0,4,94,82,89,87,90,99,92,637,91.0621115724334,14
0,0,8,0,40,94,88,99,92,98,85,95,651,93.0,1
0,0,4,0,26,84,68,90,91,87,81,64,567,81.07416485439332,1
0,0,4,0,28,91,97,86,77,83,79,62,575,82.14285714285714,5
0,0,2,0,2,81,91,85,78,94,73,74,579,82.80013936835222,14
0,0,10,0,35,93,100,90,94,97,98,98,670,95.71428571428571,5
0,0,2,0,3,62,74,90,66,79,66,70,511,73.02252613038249,2
0,0,2,0,4,81,88,92,98,80,79,81,602,86.06396811410211,16
0,1,10,0,0,77,53,92,98,56,53,93,522,74.57142857142857,7
1,0,1,0,24,95,72,94,96,91,61,94,603,86.14285714285714,5
1,0,2,0,15,89,74,96,85,95,97,77,615,87.95031616917916,10
0,0,3,0,48,91,86,97,99,88,87,88,638,91.22076149610623,1
0,0,4,0,28,85,72,87,72,68,85,78,547,78.14285714285714,13
0,0,4,0,19,89,74,79,77,70,89,65,546,78.1014520104906,9
1,0,5,0,11,63,79,65,64,95,92,72,533,76.16029912962797,2
0,0,1,0,13,86,76,60,75,65,72,69,505,72.27877316041959,15
1,0,1,0,31,90,98,94,90,91,84,65,614,87.84373238713124,1
0,0,3,0,20,92,64,80,71,80,64,88,542,77.493678916596,12
0,0,4,0,4,95,84,92,66,82,64,65,551,78.73240421433432,14
1,0,4,0,34,88,85,68,62,64,99,66,532,76.0,9
0,0,4,0,21,74,68,84,74,71,67,76,518,74.04478072721025,12
1,0,0,0,15,78,84,79,96,76,71,71,555,79.28571428571429,6
1,0,3,0,1,86,71,86,97,62,63,78,545,77.96949651694763,16
1,0,0,0,2,94,85,90,88,89,82,67,597,85.41921432824341,14
1,0,3,1,1,68,63,91,92,97,77,85,577,82.48504291124848,3
0,0,3,0,26,71,85,92,83,83,95,81,593,84.74027144493624,0
